,T,Orig_Data
2020-12-30 18:00:00+00:00,-12.317284066751284,0.0
2020-12-30 19:00:00+00:00,-11.945502292406644,0.0
2020-12-30 20:00:00+00:00,-11.201938743717367,0.0
2020-12-30 21:00:00+00:00,-10.086593420683453,0.0
2020-12-30 22:00:00+00:00,-9.343029871994174,0.0
2020-12-30 23:00:00+00:00,-8.971248097649536,0.0
2020-12-31 00:00:00+00:00,-9.343029871994174,0.0
2020-12-31 01:00:00+00:00,-8.599466323304897,0.0
2020-12-31 02:00:00+00:00,-7.85590277461562,0.0
2020-12-31 03:00:00+00:00,-7.112339225926343,0.0
2020-12-31 04:00:00+00:00,-6.7405574515817035,0.0
2020-12-31 05:00:00+00:00,-6.368775677237065,0.0
2020-12-31 06:00:00+00:00,-6.368775677237065,0.0
2020-12-31 07:00:00+00:00,-5.996993902892426,0.0
2020-12-31 08:00:00+00:00,-5.625212128547788,0.0
2020-12-31 09:00:00+00:00,-5.996993902892426,0.0
2020-12-31 10:00:00+00:00,-6.368775677237065,0.0
2020-12-31 11:00:00+00:00,-5.996993902892426,0.0
2020-12-31 12:00:00+00:00,-5.996993902892426,0.0
2020-12-31 13:00:00+00:00,-5.996993902892426,0.0
2020-12-31 14:00:00+00:00,-5.996993902892426,0.0
2020-12-31 15:00:00+00:00,-6.368775677237065,0.0
2020-12-31 16:00:00+00:00,-6.7405574515817035,0.0
2020-12-31 17:00:00+00:00,-7.4841210002709815,0.0
2020-12-31 18:00:00+00:00,-7.85590277461562,0.0
2020-12-31 19:00:00+00:00,-7.4841210002709815,0.0
2020-12-31 20:00:00+00:00,-6.7405574515817035,0.0
2020-12-31 21:00:00+00:00,-6.368775677237065,0.0
2020-12-31 22:00:00+00:00,-5.996993902892426,0.0
2020-12-31 23:00:00+00:00,-6.368775677237065,0.0
2021-01-01 00:00:00+00:00,-6.7405574515817035,0.0
2021-01-01 01:00:00+00:00,-6.7405574515817035,0.0
2021-01-01 02:00:00+00:00,-7.112339225926343,0.0
2021-01-01 03:00:00+00:00,-7.112339225926343,0.0
2021-01-01 04:00:00+00:00,-7.4841210002709815,0.0
2021-01-01 05:00:00+00:00,-7.4841210002709815,0.0
2021-01-01 06:00:00+00:00,-7.85590277461562,0.0
2021-01-01 07:00:00+00:00,-8.227684548960259,0.0
2021-01-01 08:00:00+00:00,-8.227684548960259,0.0
2021-01-01 09:00:00+00:00,-8.599466323304897,0.0
2021-01-01 10:00:00+00:00,-8.599466323304897,0.0
2021-01-01 11:00:00+00:00,-8.971248097649536,0.0
2021-01-01 12:00:00+00:00,-8.971248097649536,0.0
2021-01-01 13:00:00+00:00,-8.971248097649536,0.0
2021-01-01 14:00:00+00:00,-9.343029871994174,0.0
2021-01-01 15:00:00+00:00,-9.343029871994174,0.0
2021-01-01 16:00:00+00:00,-9.714811646338813,0.0
2021-01-01 17:00:00+00:00,-9.714811646338813,0.0
2021-01-01 18:00:00+00:00,-9.714811646338813,0.0
2021-01-01 19:00:00+00:00,-9.714811646338813,0.0
2021-01-01 20:00:00+00:00,-9.714811646338813,0.0
2021-01-01 21:00:00+00:00,-9.714811646338813,0.0
2021-01-01 22:00:00+00:00,-10.086593420683453,0.0
2021-01-01 23:00:00+00:00,-10.45837519502809,0.0
2021-01-02 00:00:00+00:00,-10.45837519502809,0.0
2021-01-02 01:00:00+00:00,-10.83015696937273,0.0
2021-01-02 02:00:00+00:00,-11.201938743717367,0.0
2021-01-02 03:00:00+00:00,-11.573720518062007,0.0
2021-01-02 04:00:00+00:00,-11.573720518062007,0.0
2021-01-02 05:00:00+00:00,-11.573720518062007,0.0
2021-01-02 06:00:00+00:00,-11.945502292406644,0.0
2021-01-02 07:00:00+00:00,-12.317284066751284,0.0
2021-01-02 08:00:00+00:00,-12.317284066751284,0.0
2021-01-02 09:00:00+00:00,-12.689065841095925,0.0
2021-01-02 10:00:00+00:00,-13.060847615440561,0.0
2021-01-02 11:00:00+00:00,-13.432629389785202,0.0
